Record Number,Common Name,Code,Latitude,Longitude,GPS certainty_meters,Locality,Elev_meters,Date,Observer,Breeding Evidence,Observation,Nest Species_Structure,Nest hgt meters,Comments,Sources,Photo,Photo Link,Scientific Name,
49,Cliff Swallow,CLSW,34.4247,-119.81073,25,"Goleta, Maria Ygnacia Ck",8,17-Aug-1997,"Holmgren, M.",Nestling in Nest,"""Of 40-50 nests, ~2 were still active i.e. nestlings sticking head out""",bridge,,Patterson Ave Bridge,MSE Nesting Records,,,#REF!,
50,Rock Pigeon,ROPI,34.44173,-119.82745,25,"Goleta, Calle Real, near Bank of America on roof",10,18-Aug-1997,"Holmgren, M.",Feeding Fledgling,"""Begging squealing juv. being fed by parent""",,,,MSE Nesting Records,,,#REF!,
51,Acorn Woodpecker,ACWO,34.44584,-119.80252,25,"Goleta, Maria Ygnacia Ck",27,23-Aug-1997,"Holmgren, M.",Feeding Fledgling,"""2 adults feeding dep. fledgling. Fledgling was begging, dark eye, grey faced, juv. feather""",cottonwood,,100m N of University Dr.,MSE Nesting Records,,,#REF!,
52,Bullock's Oriole,BUOR,34.44589,-119.80252,25,"Goleta, Patterson Open Space",27,23-Aug-1997,"Holmgren, M.",Feeding Fledgling,"""1 adult female tending 2 juvs., feeding one of them",,,"Maria Ygnacio Creek, 100m N. of University Dr.",MSE Nesting Records,,,#REF!,
53,Dark-eyed Junco,DEJU,34.45066,-119.8417,50,"Goleta, San Pedro Ck nr Cathedral Oaks Rd",24,29-Aug-1997,"Lentz, J.",Feeding Fledgling,"""Juv. begging and being fed by adult""",,,pines,MSE Nesting Records,,,#REF!,
54,Anna's Hummingbird,ANHU,34.40725,-119.84389,150,"Goleta, UCSB Campus Lagoon",6,3-Jan-1998,"Hubbard, D.",Egg in Nest,2 Eggs,"Australian tree, probably not Eucalyptus",1.7,"8-Jan-98, Holmgren, M.,  ""2 Eggs"". On 15-Jan-98, Holmgren saw ""Female still incubating but only one egg in nest"". On  27-Jan-98, Holmgren saw ""at least 1 nestling"" W edge of Lagoon Rd. bordering lagoon",MSE Nesting Records,,,#REF!,
55,Anna's Hummingbird,ANHU,34.42956,-119.75256,40,"Hope Ranch, 3942 Laguna Blanca Dr.",56,15-Jan-1998,"Holmgren, M.",Egg in Nest,"""Female incubating/when she would return, she would do significant shuffling of eggs""",Coast Live Oak,9,,MSE Nesting Records,,,#REF!,
56,Red-shouldered Hawk,RSHA,34.42092,-119.85929,100,"Goleta, East Storke Campus, student garden/greenhouse",6,26-Jan-1998,"Holmgren, M.",Carrying Nesting Material,"""One individual of pair carrying nest lining material to the tree which has died since last breeding season.""",Eucalyptus,,,MSE Nesting Records,,,#REF!,
57,hummingbird sp.,HUMM,34.45381,-119.81287,500,"Goleta, San Jose Ck nr Cathedral Oaks",30,27-Feb-1998,"Lentz, J.",No suitable category,"""The nests looked remarkably similar in construction: both with lots of spider webs and covered with lichens on the outside.""",Coast Live Oak,3.66,"28 Feb-Holmgren, M.  records 2 nests not found but 1 ANHU nest found in Oak at 20 ft., female incubating (fairly well seen on nest). Joan has called this Allen's or Anna's.",MSE Nesting Records,,,#REF!,
58,Bushtit,BUSH,34.41066,-119.85084,125,"Goleta, UCSB Campus Lagoon",9,13-Mar-1998,"Weybourne, G.",Carrying Nesting Material,"Carrying fibrous material. On 19 March, Weybourne saw adults carrying fluffy cattail stuff to NW corner S of freshwater wetland.",,0.8,,,,,#REF!,
59,Acorn Woodpecker,ACWO,34.44322,-119.71158,100,"Santa Barbara, Rocky Nook Park",117,7-May-1998,"Holmgren, M.",Cavity Nester Attending Cavity,"""Entering hole facing NE""",,4.6,,MSE Nesting Records,,,#REF!,
60,American Robin,AMRO,34.44318,-119.71158,100,"Santa Barbara, Rocky Nook Park",117,7-May-1998,"Holmgren, M.",Carrying Nesting Material,"""...Both present in horizontal branch...Female carrying nest material (3/4 done)""",Coast Live Oak,4.6,,MSE Nesting Records,,,#REF!,
61,Black Phoebe,BLPH,34.44314,-119.71158,100,"Santa Barbara, Rocky Nook Park",117,7-May-1998,"Holmgren, M.",Fledgling under Parental Care,"""2 stub-tailed juvs. along creek-recently fledged""",,,,MSE Nesting Records,,,#REF!,
62,California Towhee,CALT,34.4431,-119.71158,100,"Santa Barbara, Rocky Nook Park",117,7-May-1998,"Holmgren, M.",Feeding Fledgling,"""Juv. being fed.""",,,,MSE Nesting Records,,,#REF!,
63,Dark-eyed Junco,DEJU,34.44306,-119.71158,100,"Santa Barbara, Rocky Nook Park",117,7-May-1998,"Holmgren, M.",Feeding Fledgling,"""Feeding 1or 2 juveniles among Oaks""",,,,MSE Nesting Records,,,#REF!,
64,Dark-eyed Junco,DEJU,34.44302,-119.71158,100,"Santa Barbara, Rocky Nook Park",117,7-May-1998,"Holmgren, M.",No suitable category,"""Ditto for 2nd pair""",,,,MSE Nesting Records,,,#REF!,
65,Dark-eyed Junco,DEJU,34.44298,-119.71158,100,"Santa Barbara, Rocky Nook Park",117,7-May-1998,"Holmgren, M.",Feeding Fledgling,"""Another pair feeding 3 juvs.""",,,,MSE Nesting Records,,,#REF!,
66,Oak Titmouse,OATI,34.44294,-119.71158,100,"Santa Barbara, Rocky Nook Park",117,7-May-1998,"Holmgren, M.",Feeding Fledgling,"""...feeding young""",,,,MSE Nesting Records,,,#REF!,
67,Virginia Rail,VIRA,34.68496,-120.56234,200,"N VAFB, Wildlife Management Ponds",9,11-Jun-1998,"Holmgren, M.",Fledgling under Parental Care,very territorial adults with 2 minimum black chicks on W side of NE pond,,,"With Kisner, D.",SYR VAFB 11 June 1998.pdf,,,#REF!,
68,Yellow Warbler,YEWA,34.68496,-120.56234,200,"N VAFB, Wildlife Management Ponds",9,11-Jun-1998,"Holmgren, M.",Fledgling under Parental Care,fledgling following adult male,,,"With Kisner, D.",SYR VAFB 11 June 1998.pdf,,,#REF!,
69,Costa's Hummingbird,COHU,34.72123,-120.50573,900,"N VAFB, Lake Cyn",62,13-Jun-1998,"Holmgren, M.",Egg in Nest,"nest, female seen well, 2 eggs, nest tiny, thin-walled, white downy interior; f id'd by small size, 'tink' notes",Coast Live Oak,1,somewhere along road,VAFB Lake Cyn and Shuman Ck 13 June 1998.pdf,,,#REF!,
70,American Coot,AMCO,34.7878,-120.58662,150,"VAFB, Mod Pond",24,16-Jun-1998,"Holmgren, M.",Fledgling under Parental Care,"Pair adults with 5-day-old chick, red-billed, red-headed.",,,,San Antonio Ck VAFB 16 June 1998.pdf,,,#REF!,
71,California Thrasher,CATH,34.7862,-120.59007,100,"N VAFB, SW of Mod Pond",25,16-Jun-1998,"Holmgren, M.",Fledgling under Parental Care,Pair adults tending flying juv just W of bldg at S end Mod Pond,,,,San Antonio Ck VAFB 16 June 1998.pdf,,,#REF!,
72,Gadwall,GADW,34.78783,-120.58662,150,"VAFB, Mod Pond",24,16-Jun-1998,"Holmgren, M.",Fledgling under Parental Care,"female with 7 fledglings, half-grown",,,,San Antonio Ck VAFB 16 June 1998.pdf,,,#REF!,
73,Pied-billed Grebe,PBGR,34.78815,-120.58551,100,"VAFB, Mod Pond",24,16-Jun-1998,"Holmgren, M.",Fledgling under Parental Care,2 Adult with 3 chicks at N end pond (juvs fully grown but with complete striped head),,,,San Antonio Ck VAFB 16 June 1998.pdf,,,#REF!,
74,Pied-billed Grebe,PBGR,34.78818,-120.58551,100,"VAFB, Mod Pond",24,16-Jun-1998,"Holmgren, M.",Adult at Nest (clarify),adult on nest incubating second clutch,,,,San Antonio Ck VAFB 16 June 1998.pdf,,,#REF!,
75,Black-chinned Hummingbird,BCHU,34.55851,-120.08409,500,"Santa Ynez Valley, Quiota Ck",222,24-Jul-1998,"Holmgren, M.",Adult at Nest (clarify),"""Female on nest. Throat slightly spotted, broad bill base, creamy white background""",Maple,8.3,,MSE Nesting Records,,,#REF!,
76,Wrentit,WREN,34.49476,-119.71496,50,"Santa Ynez Mtns, La Cumbre Peak",1164,24-Jul-1998,"Holmgren, M.",Feeding Fledgling,"""Juv. being fed.""",,,,MSE Nesting Records,,,#REF!,
77,Great-tailed Grackle,GTGR,34.42226,-119.65944,200,"Santa Barbara, Andree Clark Bird Refuge",1,28-Jul-1998,"Holmgren, M.",Fledgling Begging,"""2 juvs. begging from adult female just beyond first observation platform""",,,,MSE Nesting Records,,,#REF!,
78,Hooded Oriole,HOOR,34.44399,-119.80218,20,Goleta,28,29-Jul-1998,"Holmgren, M.",Feeding Fledgling,"""...Fledged from nest between Charlotte's front door and my patio.  Adults both coming into area, at least one feeding it""",,,5128 Tabano Way,MSE Nesting Records,,,#REF!,
79,California Towhee,CALT,34.55182,-119.95665,100,"Santa Ynez Mtns, Tequepis Trail",382,30-Aug-1998,"Holmgren, M.",Fledgling Begging,"Old cabin with pools and diversion site.  ""Begging juv. in juv. plumage with adult. Viewed for 10 min. No food exchange seen but dependence was clear""",,,"N side, Circle V Ranch",MSE Nesting Records,,,#REF!,
80,Brown-headed Cowbird,BHCO,34.43588,-119.88495,50,Goleta,29,11-Sep-1998,"Sweet, S.",Host - Brood Parasite Interaction,"""Older fledgling Cowbird being fed by HOOR",,,83 Alpine Dr,MSE Nesting Records,,,#REF!,
81,California Towhee,CALT,34.43592,-119.88495,50,Goleta,29,12-Sep-1998,"Sweet, S.",Nestling in Nest,"""Nestlings in nest 3-4 days from fledging""",Monterey Cypress,6.1,"83 Alpine Dr.  ""...has been monitoring sounds for a week""",MSE Nesting Records,,,#REF!,
82,Hooded Oriole,HOOR,34.44583,-119.7874,30,"Goleta, Los Verdes Dr.",33,18-Sep-1998,"Rothstein, S.",Feeding Fledgling,"""...feeding fledglings...""",,,,MSE Nesting Records,,,#REF!,
83,hummingbird sp.,HUMM,34.41222,-119.8433,40,"Goleta, UCSB, Bio III, W edge of 2nd floor",16,4-Feb-1999,"Coutts, L.",Egg in Nest,"""...peered into it [the nest] with a mirror to find one egg.""",pine,8,""" Seems like an Anna's nest but we'll know more in the days to follow.""",MSE Nesting Records,,,#REF!,
84,Anna's Hummingbird,ANHU,34.41009,-119.85059,25,"Goleta, UCSB Campus Lagoon",8,25-Feb-1999,"Holmgren, M.",Egg in Nest,"""2 eggs, female attending. 2 territorial males also present"" in western border of lagoon.",Myrtaciae,,,MSE Nesting Records,,,#REF!,
85,White-tailed Kite,WTKI,34.45552,-119.78144,500,"Goleta, San Antonio Ck Trail",72,17-Apr-1999,"Holmgren, M.",Nest in Use (clarify),"""Nest is in coast live oak slightly above W  canyon rim 160-180m from mailbox [at 1150 S.A. Cr. Rd.]""",Coast Live Oak,,,MSE Nesting Records,,,#REF!,
86,Cassin's Kingbird,CAKI,34.42012,-119.85882,25,"Goleta, East Storke Campus, student garden/greenhouse",6,21-Apr-1999,"Holmgren, M.",Visiting Probable Nest Site,"Seen building nest. On 6 May 1999, A sentinel-like bird still present",Monterey Cypress,,,Storke Campus 6 May 99.pdf,,,#REF!,
87,Red-tailed Hawk,RTHA,34.42114,-119.85774,50,"Goleta Slough, East Storke Campus Wetland (UCSB)",6,6-May-1999,"Holmgren, M.",Fledgling out of Nest--Brancher,"""A single large fluffy chick stood up from the nest platform.  Soon the adult returned with a rodent which he tossed at the nest and quickly flew off.""",Eucalyptus,10.6,NNE of Greenhouse along S edge of wetland. Same nest active previous year,Storke Campus 6 May 99.docx,,,#REF!,
88,Song Sparrow,SOSP,34.42082,-119.85781,50,"Goleta, East Storke Campus, student garden/greenhouse",6,6-May-1999,"Holmgren, M.",Carrying Nesting Material,"""...carrying large wad of nest material in Baccharis scrub.""",Baccharis,,,Storke Campus 6 May 99.docx,,,#REF!,
89,Black Phoebe,BLPH,34.77483,-119.94727,1000,"San Rafael Mtns, Manzana Ck",529,8-May-1999,"Holmgren, M.",Feeding Fledgling,1 Pair ad feeding juvs in nest on N side creek.,,,"With Kelly, M.  E of Nira Camp",Manzana 8 May 1999.pdf,,,#REF!,
93,Blue-gray Gnatcatcher,BGGN,34.48717,-119.54769,1500,"Santa Ynez Mtns, Blue Cyn",603,24-May-1999,"Greaves, J.",Nest Building,lining nest in an oak in the bird-depauperate oak woods twixt Camuesa Rd and Blue Cyn,oak,,,Blue Cyn 24 May 1999.pdf,,,#REF!,
94,Blue-gray Gnatcatcher,BGGN,34.51188,-119.58412,700,Santa Ynez River between Pendola Station and P-Bar Camp,474,27-May-1999,"Whitney, K.",Feeding Fledgling,a pair feeding 3 fledged young,,,Los Padres NF Riparian Surveys,Pendola 27 May 1999.pdf,,,#REF!,
95,House Wren,HOWR,34.51192,-119.58412,700,Santa Ynez River between Pendola Sta. and P-Bar Camp,474,27-May-1999,"Whitney, K.",Feeding Fledgling,seen feeding young and carrying food,,,this 'observation' may summarize more than one event.,Pendola 27 May 1999.pdf,,,#REF!,
96,Song Sparrow,SOSP,34.51196,-119.58412,700,Santa Ynez River between Pendola Sta. and P-Bar Camp,474,27-May-1999,"Whitney, K.",Feeding Fledgling,seen feeding young and carrying food,,,this 'observation' may summarize more than one event.,Pendola 27 May 1999.pdf,,,#REF!,
100,House Finch,HOFI,34.55182,-119.95647,25,"Santa Ynez Mtns, Tequepis Trail",382,11-Jun-1999,"Kelly, M.",Nestling in Nest,"""Nest with babies in roof on porch.""",building,,"N side, Circle V Ranch, old cabin with pools and diversion site",MSE Nesting Records,,,#REF!,
101,Western Bluebird,WEBL,34.55168,-119.95675,200,"Santa Ynez Mtns, Tequepis Trail",382,11-Jun-1999,"Kelly, M.",Nestling in Nest,A pair with young in a nest box,nest box,,"N side, Circle V Ranch, old cabin with pools and diversion site",MSE Nesting Records,,,#REF!,
105,Black-headed Grosbeak,BHGR,34.512,-119.58412,700,Santa Ynez River between Pendola Sta. and P-Bar Camp,474,18-Jun-1999,"Whitney, K.",Carrying Food,female carrying food,,,Los Padres NF Riparian Surveys,Pendola #5 18 June 1999.pdf,,,#REF!,
